rxn_smiles,R,P,rxn_type
[CH2]OCCOO>>C1COCO1.[OH],[CH2]OCCOO,C1COCO1.[OH],cyc_5mem
[CH2]OCC(C)OO>>CC1COCO1.[OH],[CH2]OCC(C)OO,CC1COCO1.[OH],cyc_5mem
C[CH]OCCOO>>CC1OCCO1.[OH],C[CH]OCCOO,CC1OCCO1.[OH],cyc_5mem
C[CH]OCC(C)OO>>CC1COC(C)O1.[OH],C[CH]OCC(C)OO,CC1COC(C)O1.[OH],cyc_5mem
C[C](C)OCCOO>>CC1(C)OCCO1.[OH],C[C](C)OCCOO,CC1(C)OCCO1.[OH],cyc_5mem
[CH2]OCC(C)(C)OO>>CC1(C)COCO1.[OH],[CH2]OCC(C)(C)OO,CC1(C)COCO1.[OH],cyc_5mem
C[CH]OCC(C)(C)OO>>CC1OCC(C)(C)O1.[OH],C[CH]OCC(C)(C)OO,CC1OCC(C)(C)O1.[OH],cyc_5mem
C[C](C)OCC(C)OO>>CC1COC(C)(C)O1.[OH],C[C](C)OCC(C)OO,CC1COC(C)(C)O1.[OH],cyc_5mem
C[C](C)OCC(C)(C)OO>>CC1(C)COC(C)(C)O1.[OH],C[C](C)OCC(C)(C)OO,CC1(C)COC(C)(C)O1.[OH],cyc_5mem
CO[CH]CCCOO>>COC1CCCO1.[OH],CO[CH]CCCOO,COC1CCCO1.[OH],cyc_5mem
CO[CH]CCC(C)OO>>COC1CCC(C)O1.[OH],CO[CH]CCC(C)OO,COC1CCC(C)O1.[OH],cyc_5mem
CO[C](C)CCCOO>>COC1(C)CCCO1.[OH],CO[C](C)CCCOO,COC1(C)CCCO1.[OH],cyc_5mem
CO[C](C)CCC(C)OO>>COC1(C)CCC(C)O1.[OH],CO[C](C)CCC(C)OO,COC1(C)CCC(C)O1.[OH],cyc_5mem
CO[CH]CCC(C)(C)OO>>COC1CCC(C)(C)O1.[OH],CO[CH]CCC(C)(C)OO,COC1CCC(C)(C)O1.[OH],cyc_5mem
CO[C](C)CCC(C)(C)OO>>COC1(C)CCC(C)(C)O1.[OH],CO[C](C)CCC(C)(C)OO,COC1(C)CCC(C)(C)O1.[OH],cyc_5mem
[CH2]CCC(OC)OO>>COC1CCCO1.[OH],[CH2]CCC(OC)OO,COC1CCCO1.[OH],cyc_5mem
C[CH]CCC(OC)OO>>COC1CCC(C)O1.[OH],C[CH]CCC(OC)OO,COC1CCC(C)O1.[OH],cyc_5mem
[CH2]CCC(C)(OC)OO>>COC1(C)CCCO1.[OH],[CH2]CCC(C)(OC)OO,COC1(C)CCCO1.[OH],cyc_5mem
C[CH]CCC(C)(OC)OO>>COC1(C)CCC(C)O1.[OH],C[CH]CCC(C)(OC)OO,COC1(C)CCC(C)O1.[OH],cyc_5mem
COC(CC[C](C)C)OO>>COC1CCC(C)(C)O1.[OH],COC(CC[C](C)C)OO,COC1CCC(C)(C)O1.[OH],cyc_5mem
COC(C)(CC[C](C)C)OO>>COC1(C)CCC(C)(C)O1.[OH],COC(C)(CC[C](C)C)OO,COC1(C)CCC(C)(C)O1.[OH],cyc_5mem
[CH2]C(OC)OO>>COC1CO1.[OH],[CH2]C(OC)OO,COC1CO1.[OH],cyc_6mem
CO[CH]COO>>COC1CO1.[OH],CO[CH]COO,COC1CO1.[OH],cyc_6mem
[CH2]C(C)(OC)OO>>COC1(C)CO1.[OH],[CH2]C(C)(OC)OO,COC1(C)CO1.[OH],cyc_6mem
CO[C](C)COO>>COC1(C)CO1.[OH],CO[C](C)COO,COC1(C)CO1.[OH],cyc_6mem
C[CH]C(OC)OO>>COC1OC1C.[OH],C[CH]C(OC)OO,COC1OC1C.[OH],cyc_6mem
CO[CH]C(C)OO>>COC1OC1C.[OH],CO[CH]C(C)OO,COC1OC1C.[OH],cyc_6mem
[CH2]C(COC)OO>>COCC1CO1.[OH],[CH2]C(COC)OO,COCC1CO1.[OH],cyc_6mem
C[CH]C(C)(OC)OO>>COC1(C)OC1C.[OH],C[CH]C(C)(OC)OO,COC1(C)OC1C.[OH],cyc_6mem
